App;Open;date
mydealz;openedApp;2023-05-29T15:08:09Z
mydealz;dismissedAppOpening;2023-05-29T15:41:51Z
youtube;openedApp;2023-05-29T18:43:24Z
youtube;dismissedAppOpening;2023-05-30T04:29:18Z
youtube;openedApp;2023-05-30T18:35:20Z
youtube;openedApp;2023-05-31T13:57:36Z
youtube;openedApp;2023-05-31T17:54:57Z
youtube;openedApp;2023-05-31T18:09:48Z
youtube;openedApp;2023-05-31T19:07:05Z
mydealz;openedApp;2023-05-31T19:41:27Z
mydealz;openedApp;2023-05-31T19:46:17Z
youtube;openedApp;2023-05-31T20:05:22Z
youtube;dismissedAppOpening;2023-06-01T04:49:16Z
youtube;openedApp;2023-06-01T04:49:59Z
youtube;openedApp;2023-06-01T05:56:06Z
mydealz;dismissedAppOpening;2023-06-01T11:24:42Z
youtube;openedApp;2023-06-01T18:09:56Z
youtube;openedApp;2023-06-01T18:37:51Z
youtube;openedApp;2023-06-01T18:43:45Z
youtube;dismissedAppOpening;2023-06-01T19:02:43Z
youtube;openedApp;2023-06-01T19:02:49Z
youtube;openedApp;2023-06-02T13:59:17Z
youtube;openedApp;2023-06-02T14:09:36Z
youtube;openedApp;2023-06-02T17:13:10Z
youtube;dismissedAppOpening;2023-06-02T18:34:59Z
mydealz;openedApp;2023-06-02T20:23:40Z
youtube;openedApp;2023-06-02T20:42:38Z
mydealz;dismissedAppOpening;2023-06-03T07:54:02Z
mydealz;openedApp;2023-06-03T07:54:15Z
youtube;openedApp;2023-06-03T09:52:55Z
youtube;openedApp;2023-06-03T10:33:00Z
youtube;openedApp;2023-06-03T10:44:36Z
youtube;dismissedAppOpening;2023-06-03T10:46:08Z
mydealz;openedApp;2023-06-03T13:13:16Z
youtube;openedApp;2023-06-03T16:35:01Z
youtube;dismissedAppOpening;2023-06-03T16:57:45Z
youtube;openedApp;2023-06-03T16:58:11Z
youtube;openedApp;2023-06-03T17:46:17Z
youtube;openedApp;2023-06-03T21:11:02Z
youtube;openedApp;2023-06-04T16:50:57Z
youtube;openedApp;2023-06-04T17:32:05Z
youtube;openedApp;2023-06-04T17:36:14Z
youtube;openedApp;2023-06-05T05:42:25Z
youtube;openedApp;2023-06-06T19:00:46Z
youtube;dismissedAppOpening;2023-06-06T20:54:15Z
youtube;openedApp;2023-06-06T20:54:24Z
youtube;openedApp;2023-06-06T21:15:43Z
youtube;openedApp;2023-06-07T05:41:50Z
youtube;openedApp;2023-06-07T06:16:16Z
youtube;dismissedAppOpening;2023-06-07T19:33:42Z
youtube;openedApp;2023-06-07T21:05:15Z
mydealz;openedApp;2023-06-07T22:38:16Z
mydealz;openedApp;2023-06-07T22:41:18Z
youtube;openedApp;2023-06-08T07:45:21Z
youtube;openedApp;2023-06-08T10:08:26Z
youtube;dismissedAppOpening;2023-06-08T10:30:46Z
youtube;openedApp;2023-06-08T11:08:24Z
youtube;openedApp;2023-06-08T11:39:14Z
youtube;dismissedAppOpening;2023-06-08T12:24:47Z
youtube;openedApp;2023-06-08T16:52:14Z
mydealz;dismissedAppOpening;2023-06-09T05:03:57Z
mydealz;openedApp;2023-06-09T05:04:10Z
youtube;openedApp;2023-06-09T07:37:02Z
youtube;openedApp;2023-06-09T08:05:30Z
youtube;openedApp;2023-06-09T08:40:24Z
youtube;openedApp;2023-06-09T12:05:55Z
youtube;openedApp;2023-06-10T16:45:12Z
youtube;openedApp;2023-06-10T18:06:19Z
youtube;dismissedAppOpening;2023-06-11T05:41:59Z
youtube;openedApp;2023-06-11T05:42:25Z
youtube;openedApp;2023-06-11T08:02:08Z
youtube;openedApp;2023-06-11T13:52:21Z
youtube;dismissedAppOpening;2023-06-11T14:46:44Z
youtube;openedApp;2023-06-11T14:46:55Z
mydealz;dismissedAppOpening;2023-06-12T04:57:37Z
youtube;dismissedAppOpening;2023-06-12T05:17:46Z
youtube;openedApp;2023-06-12T11:07:27Z
mydealz;dismissedAppOpening;2023-06-13T10:58:04Z
youtube;openedApp;2023-06-13T11:41:23Z
youtube;openedApp;2023-06-14T21:47:06Z
youtube;openedApp;2023-06-17T13:41:00Z
youtube;openedApp;2023-06-17T19:16:35Z
safari;dismissedAppOpening;2023-06-18T19:38:13Z
imessage;dismissedAppOpening;2023-06-18T19:43:13Z
spotify;dismissedAppOpening;2023-06-18T19:43:24Z
imessage;openedApp;2023-06-18T19:44:01Z
signal;openedApp;2023-06-18T20:35:18Z
signal;dismissedAppOpening;2023-06-18T20:39:40Z
whastapp;openedApp;2023-06-18T20:40:43Z
safari;openedApp;2023-06-18T21:16:15Z
whastapp;openedApp;2023-06-18T21:49:04Z
spotify;openedApp;2023-06-18T22:13:29Z
imessage;openedApp;2023-06-19T08:00:45Z
whastapp;openedApp;2023-06-19T08:02:20Z
imessage;openedApp;2023-06-19T08:34:10Z
mail;openedApp;2023-06-19T08:34:54Z
mail;dismissedAppOpening;2023-06-19T08:46:49Z
mail;dismissedAppOpening;2023-06-19T08:46:54Z
mail;openedApp;2023-06-19T08:47:02Z
imessage;openedApp;2023-06-19T09:43:05Z
imessage;dismissedAppOpening;2023-06-19T10:57:10Z
imessage;openedApp;2023-06-19T10:57:47Z
mail;openedApp;2023-06-19T11:26:16Z
imessage;dismissedAppOpening;2023-06-19T11:48:39Z
imessage;openedApp;2023-06-19T11:48:49Z
mail;openedApp;2023-06-19T13:41:33Z
mail;openedApp;2023-06-19T14:29:44Z
spotify;openedApp;2023-06-19T14:59:14Z
spotify;dismissedAppOpening;2023-06-19T15:26:31Z
whastapp;dismissedAppOpening;2023-06-19T16:07:26Z
whastapp;openedApp;2023-06-19T16:07:32Z
imessage;openedApp;2023-06-19T16:45:06Z
imessage;openedApp;2023-06-19T16:45:41Z
imessage;dismissedAppOpening;2023-06-19T16:46:25Z
spotify;dismissedAppOpening;2023-06-19T17:54:30Z
